,id,x,y,z,radius,dt
0,0.0,0.0,0.0,0.0,5.0000038973886225,0
1,0.0,0.0,0.0,0.0,5.013020665744653,1.0
2,0.0,0.4330127018925122,0.43301270189192675,0.43301270189221946,5.013020665744653,2.0
3,0.0,1.0103629710825286,1.0103629710811621,1.0103629710818454,5.013020665744653,3.0
4,0.0,1.5877132402725442,1.5877132402703984,1.5877132402714702,5.013020665744653,4.0
5,0.0,2.16506350946256,2.165063509459635,2.165063509461096,5.013020665744653,5.0
6,0.0,2.7408183150996623,2.743758982854915,2.7426563098266326,5.013020665744653,6.0
7,0.0,3.3170802360134717,3.322193706427542,3.320004632069852,5.015940139811146,7.0
8,0.0,3.8944305052030987,3.8995439756171693,3.897354901259479,5.015940139811146,8.0
9,0.0,4.471780774392729,4.4768942448068,4.47470517044911,5.015940139811146,9.0
10,0.0,5.049131043582361,5.054244513996432,5.052055439638742,5.015940139811146,10.0
11,0.0,5.626481312771992,5.631594783186063,5.629405708828373,5.015940139811146,11.0
12,0.0,6.203831581961624,6.208945052375695,6.206755978018005,5.015940139811146,12.0
13,0.0,6.781181851151255,6.786295321565326,6.784106247207636,5.0186376308958165,13.0
14,0.0,7.358532120340887,7.363645590754958,7.361456516397268,5.0186376308958165,14.0
15,0.0,7.935882389530518,7.940995859944589,7.938806785586899,5.0186376308958165,15.0
16,0.0,8.513232658720142,8.518346129134212,8.516157054776523,5.0186376308958165,16.0
17,0.0,9.090582927909765,9.095696398323835,9.093507323966145,5.0186376308958165,17.0
18,0.0,9.667933197099387,9.673046667513457,9.670857593155768,5.0186376308958165,18.0
19,0.0,10.24528346628901,10.25039693670308,10.24820786234539,5.021130231042427,19.0
20,0.0,10.822633735478632,10.827747205892702,10.825558131535013,5.021130231042427,20.0
21,0.0,11.399984004668255,11.405097475082325,11.402908400724636,5.021130231042427,21.0
22,0.0,11.977334273857878,11.982447744271948,11.980258669914258,5.021130231042427,22.0
23,0.0,12.5546845430475,12.55979801346157,12.557608939103881,5.021130231042427,23.0
24,0.0,13.132034812237123,13.137148282651193,13.134959208293504,5.021130231042427,24.0
25,0.0,13.709385081426746,13.714498551840816,13.712309477483126,5.023433684913401,25.0
26,0.0,14.286735350616368,14.291848821030438,14.289659746672749,5.023433684913401,26.0
27,0.0,14.86408561980599,14.86919909022006,14.867010015862371,5.023433684913401,27.0
28,0.0,15.441435888995613,15.446549359409683,15.444360285051994,5.023433684913401,28.0
29,0.0,16.018786158185236,16.023899628599306,16.02171055424162,5.023433684913401,29.0
30,0.0,16.59613642737486,16.60124989778893,16.59906082343124,5.023433684913401,30.0
31,0.0,17.17348669656448,17.17860016697855,17.176411092620864,5.025562500610352,31.0
32,0.0,17.750836965754104,17.755950436168174,17.753761361810486,5.025562500610352,32.0
33,0.0,18.328187234943726,18.333300705357797,18.33111163100011,5.025562500610352,33.0
34,0.0,18.90553750413335,18.91065097454742,18.90846190018973,5.025562500610352,34.0
35,0.0,19.48288777332297,19.488001243737042,19.485812169379354,5.025562500610352,35.0
36,0.0,20.060238042512594,20.065351512926664,20.063162438568977,5.025562500610352,36.0
37,0.0,20.637588311702217,20.642701782116287,20.6405127077586,5.027530050705903,37.0
38,0.0,21.21493858089184,21.22005205130591,21.217862976948222,5.027530050705903,38.0
39,0.0,21.792288850081462,21.797402320495532,21.795213246137845,5.027530050705903,39.0
40,0.0,22.369639119271085,22.374752589685155,22.372563515327467,5.027530050705903,40.0
41,0.0,22.946989388460707,22.952102858874778,22.94991378451709,5.027530050705903,41.0
42,0.0,23.52433965765033,23.5294531280644,23.527264053706713,5.027530050705903,42.0
43,0.0,24.101689926839953,24.106803397254023,24.104614322896335,5.029348664448653,43.0
44,0.0,24.679040196029575,24.684153666443645,24.681964592085958,5.029348664448653,44.0
45,0.0,25.256390465219198,25.261503935633268,25.25931486127558,5.029348664448653,45.0
46,0.0,25.83374073440882,25.83885420482289,25.836665130465203,5.029348664448653,46.0
47,0.0,26.411091003598443,26.416204474012513,26.414015399654826,5.029348664448653,47.0
48,0.0,26.988441272788066,26.993554743202136,26.99136566884445,5.029348664448653,48.0
49,0.0,27.56579154197769,27.57090501239176,27.56871593803407,5.031029711995015,49.0
50,0.0,28.14314181116731,28.14825528158138,28.146066207223694,5.031029711995015,50.0
51,0.0,28.720492080356934,28.725605550771004,28.723416476413316,5.031029711995015,51.0
52,0.0,29.297842349546556,29.302955819960626,29.30076674560294,5.031029711995015,52.0
53,0.0,29.87519261873618,29.88030608915025,29.87811701479256,5.031029711995015,53.0
54,0.0,30.4525428879258,30.45765635833987,30.455467283982184,5.031029711995015,54.0
55,0.0,31.029893157115424,31.035006627529494,31.032817553171807,5.032583681427483,55.0
56,0.0,31.607243426305047,31.612356896719117,31.61016782236143,5.032583681427483,56.0
57,0.0,32.18459369549467,32.18970716590874,32.187518091551055,5.032583681427483,57.0
58,0.0,32.76194396468429,32.767057435098366,32.76486836074068,5.032583681427483,58.0
59,0.0,33.339294233873915,33.34440770428799,33.3422186299303,5.032583681427483,59.0
60,0.0,33.91664450306354,33.92175797347761,33.91956889911992,5.032583681427483,60.0
61,0.0,34.49399477225316,34.49910824266723,34.496919168309546,5.0340202492366695,61.0
62,0.0,35.07134504144278,35.076458511856856,35.07426943749917,5.0340202492366695,62.0
63,0.0,35.648695310632405,35.65380878104648,35.65161970668879,5.0340202492366695,63.0
64,0.0,36.22604557982203,36.2311590502361,36.228969975878414,5.0340202492366695,64.0
65,0.0,36.80339584901165,36.808509319425724,36.80632024506804,5.0340202492366695,65.0
